year,month,month_ID,firm_ID,stock_price,DPS,shares_outstanding,adjustment_coefficient,R_F
2020,5,65,2,5419,0,1564000,1,3.4643469071159566e-5
2020,6,66,2,4836,12,1564000,1,3.931858867494157e-5
2020,7,67,2,4543,0,1564000,1,6.623265139295986e-5
2020,8,68,2,4666,0,1564000,1,3.6010742415965065e-5
2020,9,69,2,4440,0,1564000,1,2.5720489585073665e-5
2020,10,70,2,4103,0,1564000,1,5.372061978208256e-5
2020,11,71,2,3960,0,1564000,1,1.0156758127966897e-4
2020,12,72,2,3321,12,1564000,1,8.202927112379008e-5
2015,1,1,3,833,0,55313000,1,3.6904424204767613e-4
2015,2,2,3,875,0,55313000,1,2.947826010987046e-4
2015,3,3,3,912,0,55313000,1,3.0086036407010394e-4
2015,4,4,3,828,0,55313000,1,3.275954343995545e-4
2015,5,5,3,897,0,55313000,1,3.772855493909446e-4
2015,6,6,3,1014,0,55313000,1,3.127117259491933e-4
2015,7,7,3,994,0,55313000,1,2.789291802397577e-4
2015,8,8,3,976,0,55313000,1,3.2726411891658726e-4
2015,9,9,3,844,0,55313000,1,2.664878185557377e-4
2015,10,10,3,888,0,66573000,1,2.4168261216524111e-4
2015,11,11,3,1027,0,66573000,1,2.604259696296518e-4
2015,12,12,3,1058,0,66573000,1,3.4465616818470275e-4
2016,1,13,3,1016,0,66573000,1,6.953960765866892e-4
2016,2,14,3,1062,0,66573000,1,4.935368360524654e-4
2016,3,15,3,938,0,66573000,1,4.7105999460134173e-4
2016,4,16,3,945,0,66573000,1,5.524236313591246e-4
2016,5,17,3,973,0,66573000,1,6.380331542604836e-4
2016,6,18,3,1030,5,66573000,1,6.728155091914232e-4
2016,7,19,3,1070,0,66573000,1,6.165383493766421e-4
2016,8,20,3,1209,0,66573000,1,6.506825543518218e-4
2016,9,21,3,1365,0,66573000,1,5.834098546538314e-4
2016,10,22,3,1308,0,66573000,1,6.114423167053608e-4
2016,11,23,3,1272,0,66573000,1,6.848179857960326e-4
2016,12,24,3,1443,5,66573000,1,7.367713245845299e-4
2017,1,25,3,1616,0,66573000,1,2.5720489585073665e-5
2017,2,26,3,1694,0,66573000,1,5.372061978208256e-5
2017,3,27,3,1546,0,66573000,1,1.0156758127966897e-4
2017,4,28,3,1722,0,66573000,1,8.202927112379008e-5
2017,5,29,3,1677,0,66573000,1,3.807413221889874e-5
2017,6,30,3,1926,5,66573000,1,2.0063917255108217e-5
2017,7,31,3,2210,0,66573000,1,2.4187631625682117e-5
2017,8,32,3,2260,0,66573000,1,4.327698904151324e-5
2017,9,33,3,2118,0,66573000,1,3.4643469071159566e-5
2017,10,34,3,1996,0,66573000,1,3.931858867494157e-5
2017,11,35,3,2072,0,66573000,1,6.623265139295986e-5
2017,12,36,3,1991,5,66573000,1,3.6010742415965065e-5
2018,1,37,3,1927,0,66573000,1,-2.019053925469912e-4
2018,2,38,3,1888,0,66573000,1,-9.948516341391951e-5
2018,3,39,3,1615,0,66573000,1,-7.306199922659694e-5
2018,4,40,3,1587,0,66573000,1,-4.0726631100334606e-5
2018,5,41,3,1658,0,66573000,1,-5.3538201817972085e-5
2018,6,42,3,1662,14,66573000,1,7.595918721511793e-5
2018,7,43,3,1727,0,66573000,1,2.2447959333098474e-4
2018,8,44,3,1574,0,66573000,1,2.4686156939715147e-4
2018,9,45,3,1554,0,66573000,1,2.555448304290341e-4
2018,10,46,3,1562,0,66573000,1,-7.040710798774999e-5
2018,11,47,3,1517,0,66573000,1,-6.005029589200579e-5
2018,12,48,3,1615,14,66573000,1,-1.546858426427934e-4
2019,1,49,3,1716,0,66573000,1,5.020144424060936e-4
2019,2,50,3,1628,0,66573000,1,6.326050390087753e-4
2019,3,51,3,1680,0,66573000,1,4.988897985545918e-4
2019,4,52,3,1744,0,66573000,1,4.682935379037356e-4
2019,5,53,3,1797,0,66573000,1,4.1768156395343694e-4
2019,6,54,3,2018,25,66573000,1,3.941414616913267e-4
2019,7,55,3,2036,0,66573000,1,4.358740403119928e-4
2019,8,56,3,2027,0,66573000,1,4.626405016062174e-4
2019,9,57,3,2279,0,66573000,1,4.709409509511897e-4
2019,10,58,3,2480,0,66573000,1,4.941935011470922e-4
2019,11,59,3,2487,0,66573000,1,5.190200094467227e-4
2019,12,60,3,2621,25,66573000,1,4.7454538264174765e-4
2020,1,61,3,2827,0,66573000,1,-1.393929495184192e-4
2020,2,62,3,2652,0,66573000,1,-1.373434292129241e-4
2020,3,63,3,3088,0,66573000,1,-8.194016339322899e-5
2020,4,64,3,3268,0,66573000,1,-4.2083320996896574e-5
2020,5,65,3,3194,0,66573000,1,-7.925778492923401e-5
2020,6,66,3,3137,35,66573000,1,-2.4916947603924202e-5
2020,7,67,3,3074,0,66573000,1,0
2020,8,68,3,3066,0,66573000,1,-4.284323566529397e-6
2020,9,69,3,2671,0,66573000,1,6.86211131358352e-5
2020,10,70,3,3062,0,66573000,1,9.82037324248813e-5
2020,11,71,3,3081,0,66573000,1,-1.948190666647861e-4
2020,12,72,3,3215,35,66573000,1,-2.3293435599093068e-4
2015,1,1,4,1033,0,12669000,1,2.555448304290341e-4
2015,2,2,4,1097,0,12669000,1,-7.040710798774999e-5
2015,3,3,4,996,0,12669000,1,-6.005029589200579e-5
2015,4,4,4,886,0,12669000,1,-1.546858426427934e-4
2015,5,5,4,859,0,12669000,1,-2.019053925469912e-4
2015,6,6,4,936,9,12669000,1,-9.948516341391951e-5
2015,7,7,4,999,0,12669000,1,-7.306199922659694e-5
2015,8,8,4,979,0,12669000,1,-4.0726631100334606e-5
2015,9,9,4,967,0,12669000,1,-5.3538201817972085e-5
2015,10,10,4,1010,0,12669000,1,7.595918721511793e-5
2015,11,11,4,1073,0,12669000,1,2.2447959333098474e-4
2015,12,12,4,1146,9,12669000,1,2.4686156939715147e-4
2016,1,13,4,1144,0,12669000,1,4.709409509511897e-4
2016,2,14,4,1172,0,12669000,1,4.941935011470922e-4
2016,3,15,4,1063,0,12669000,1,5.190200094467227e-4
2016,4,16,4,1064,0,12669000,1,4.7454538264174765e-4
2016,5,17,4,917,0,12669000,1,5.020144424060936e-4
2016,6,18,4,885,9,12669000,1,6.326050390087753e-4
2016,7,19,4,905,0,12669000,1,4.988897985545918e-4
2016,8,20,4,916,0,12669000,1,4.682935379037356e-4
2016,9,21,4,964,0,12669000,1,4.1768156395343694e-4
2016,10,22,4,927,0,12669000,1,3.941414616913267e-4
2016,11,23,4,964,0,12669000,1,4.358740403119928e-4
2016,12,24,4,915,9,12669000,1,4.626405016062174e-4
2017,1,25,4,1020,0,12669000,1,6.86211131358352e-5
2017,2,26,4,1100,0,12669000,1,9.82037324248813e-5
2017,3,27,4,1106,0,12669000,1,-1.948190666647861e-4
2017,4,28,4,1066,0,12669000,1,-2.3293435599093068e-4
2017,5,29,4,1033,0,12669000,1,-1.393929495184192e-4
2017,6,30,4,1107,9,12669000,1,-1.373434292129241e-4
2017,7,31,4,1158,0,12669000,1,-8.194016339322899e-5
2017,8,32,4,1186,0,12669000,1,-4.2083320996896574e-5
2017,9,33,4,1117,0,12669000,1,-7.925778492923401e-5
2017,10,34,4,1020,0,12669000,1,-2.4916947603924202e-5
2017,11,35,4,1072,0,12669000,1,0
2017,12,36,4,1077,9,12669000,1,-4.284323566529397e-6
2018,1,37,4,1005,0,12669000,1,6.978353568447844e-5
2018,2,38,4,1021,0,12669000,1,3.370920296834414e-5
2018,3,39,4,989,0,12669000,1,8.233147515380662e-6
2018,4,40,4,942,0,12669000,1,5.265067636168696e-5
2018,5,41,4,971,0,12669000,1,4.1563852309799176e-5
2018,6,42,4,920,6,12669000,1,6.333753015758524e-5
2018,7,43,4,956,0,12669000,1,3.403390730389742e-5
2018,8,44,4,923,0,12669000,1,1.2661526414449327e-5
2018,9,45,4,865,0,12669000,1,-4.699964362884604e-5
2018,10,46,4,873,0,12669000,1,5.08402779372409e-5
2018,11,47,4,866,0,12669000,1,0
2018,12,48,4,807,6,12669000,1,6.0069596402172464e-5
2019,1,49,4,722,0,12669000,1,2.4168261216524111e-4
2019,2,50,4,742,0,12669000,1,2.604259696296518e-4
2019,3,51,4,739,0,12669000,1,3.4465616818470275e-4
2019,4,52,4,701,0,12669000,1,3.6904424204767613e-4
2019,5,53,4,674,0,12669000,1,2.947826010987046e-4
2019,6,54,4,689,5,12669000,1,3.0086036407010394e-4
2019,7,55,4,751,0,12669000,1,3.275954343995545e-4
2019,8,56,4,756,0,12669000,1,3.772855493909446e-4
2019,9,57,4,777,0,12669000,1,3.127117259491933e-4
2019,10,58,4,698,0,12669000,1,2.789291802397577e-4
2019,11,59,4,695,0,12669000,1,3.2726411891658726e-4
2019,12,60,4,721,5,12669000,1,2.664878185557377e-4
2020,1,61,4,737,0,12669000,1,6.114423167053608e-4
2020,2,62,4,740,0,12669000,1,6.848179857960326e-4
2020,3,63,4,799,0,12669000,1,7.367713245845299e-4
2020,4,64,4,784,0,12669000,1,6.953960765866892e-4
2020,5,65,4,813,0,12669000,1,4.935368360524654e-4
2020,6,66,4,800,4,12669000,1,4.7105999460134173e-4
2020,7,67,4,772,0,12669000,1,5.524236313591246e-4
2020,8,68,4,768,0,12669000,1,6.380331542604836e-4
2020,9,69,4,767,0,12669000,1,6.728155091914232e-4
2020,10,70,4,742,0,12669000,1,6.165383493766421e-4
2020,11,71,4,685,0,12669000,1,6.506825543518218e-4
2020,12,72,4,683,4,12669000,1,5.834098546538314e-4
2015,1,1,5,1343,0,31062000,1,-4.699964362884604e-5
2015,2,2,5,1499,0,31062000,1,5.08402779372409e-5
2015,3,3,5,1625,0,31062000,1,0
2015,4,4,5,1486,0,31062000,1,6.0069596402172464e-5
2015,5,5,5,1656,0,31062000,1,6.978353568447844e-5
2015,6,6,5,1683,57,31062000,1,3.370920296834414e-5
2015,7,7,5,1674,0,31062000,1,8.233147515380662e-6
2015,8,8,5,1511,0,31062000,1,5.265067636168696e-5
2015,9,9,5,1573,0,31062000,1,4.1563852309799176e-5
2015,10,10,5,1641,0,31062000,1,6.333753015758524e-5
2015,11,11,5,1836,0,31062000,1,3.403390730389742e-5
2015,12,12,5,1927,57,31062000,1,1.2661526414449327e-5
2016,1,13,5,1947,0,31062000,1,3.127117259491933e-4
2016,2,14,5,2062,0,31062000,1,2.789291802397577e-4
2016,3,15,5,2126,0,31062000,1,3.2726411891658726e-4
2016,4,16,5,2045,0,31062000,1,2.664878185557377e-4
2016,5,17,5,2013,0,31062000,1,2.4168261216524111e-4
2016,6,18,5,1990,34,31062000,1,2.604259696296518e-4
2016,7,19,5,2009,0,31062000,1,3.4465616818470275e-4
2016,8,20,5,1985,0,31062000,1,3.6904424204767613e-4
2016,9,21,5,2140,0,31062000,1,2.947826010987046e-4
2016,10,22,5,2319,0,31062000,1,3.0086036407010394e-4
2016,11,23,5,2459,0,31062000,1,3.275954343995545e-4
2016,12,24,5,2255,34,31062000,1,3.772855493909446e-4
2017,1,25,5,2487,0,31062000,1,6.728155091914232e-4
2017,2,26,5,2530,0,31062000,1,6.165383493766421e-4
2017,3,27,5,2721,0,31062000,1,6.506825543518218e-4
2017,4,28,5,2889,0,31062000,1,5.834098546538314e-4
2017,5,29,5,2870,0,31062000,1,6.114423167053608e-4
2017,6,30,5,2856,34,31062000,1,6.848179857960326e-4
2017,7,31,5,3008,0,31062000,1,7.367713245845299e-4
2017,8,32,5,3131,0,31062000,1,6.953960765866892e-4
2017,9,33,5,3222,0,31062000,1,4.935368360524654e-4
2017,10,34,5,2913,0,31062000,1,4.7105999460134173e-4
2017,11,35,5,2840,0,31062000,1,5.524236313591246e-4
2017,12,36,5,2866,34,31062000,1,6.380331542604836e-4
2018,1,37,5,3012,0,31062000,1,2.0063917255108217e-5
2018,2,38,5,3029,0,31062000,1,2.4187631625682117e-5
2018,3,39,5,2869,0,31062000,1,4.327698904151324e-5
2018,4,40,5,2838,0,31062000,1,3.4643469071159566e-5
2018,5,41,5,2761,0,31062000,1,3.931858867494157e-5
2018,6,42,5,2678,12,31062000,1,6.623265139295986e-5
2018,7,43,5,2637,0,31062000,1,3.6010742415965065e-5
2018,8,44,5,2413,0,31062000,1,2.5720489585073665e-5
2018,9,45,5,2532,0,31062000,1,5.372061978208256e-5
2018,10,46,5,2647,0,31062000,1,1.0156758127966897e-4
2018,11,47,5,2777,0,31062000,1,8.202927112379008e-5
2018,12,48,5,2828,12,31062000,1,3.807413221889874e-5
2019,1,49,5,3151,0,31062000,1,7.595918721511793e-5
2019,2,50,5,3301,0,31062000,1,2.2447959333098474e-4
2019,3,51,5,3621,0,31062000,1,2.4686156939715147e-4
2019,4,52,5,4063,0,31062000,1,2.555448304290341e-4
2019,5,53,5,5108,0,31062000,1,-7.040710798774999e-5
2019,6,54,5,4896,12,31062000,1,-6.005029589200579e-5
2019,7,55,5,4924,0,31062000,1,-1.546858426427934e-4
2019,8,56,5,4815,0,31062000,1,-2.019053925469912e-4
2019,9,57,5,5015,0,31062000,1,-9.948516341391951e-5
2019,10,58,5,5618,0,31062000,1,-7.306199922659694e-5
2019,11,59,5,6043,0,31062000,1,-4.0726631100334606e-5
2019,12,60,5,6130,12,31062000,1,-5.3538201817972085e-5
2020,1,61,5,6313,0,31062000,1,3.941414616913267e-4
2020,2,62,5,6201,0,31062000,1,4.358740403119928e-4
2020,3,63,5,7070,0,31062000,1,4.626405016062174e-4
2020,4,64,5,6892,0,31062000,1,4.709409509511897e-4
2020,5,65,5,6777,0,31062000,1,4.941935011470922e-4
2020,6,66,5,6741,12,31062000,1,5.190200094467227e-4
2020,7,67,5,6988,0,31062000,1,4.7454538264174765e-4
2020,8,68,5,6826,0,31062000,1,5.020144424060936e-4
2020,9,69,5,6894,0,31062000,1,6.326050390087753e-4
2020,10,70,5,7060,0,31062000,1,4.988897985545918e-4
2020,11,71,5,7065,0,31062000,1,4.682935379037356e-4
2020,12,72,5,7571,12,31062000,1,4.1768156395343694e-4
2015,1,1,6,523,0,9167000,1,5.372061978208256e-5
2015,2,2,6,492,0,9167000,1,1.0156758127966897e-4
2015,3,3,6,493,0,9167000,1,8.202927112379008e-5
2015,4,4,6,495,0,9167000,1,3.807413221889874e-5
2015,5,5,6,647,0,9167000,1,2.0063917255108217e-5
2015,6,6,6,627,0,9167000,1,2.4187631625682117e-5
2015,7,7,6,611,0,9167000,1,4.327698904151324e-5
2015,8,8,6,520,0,9167000,1,3.4643469071159566e-5
2015,9,9,6,473,0,11802000,1,3.931858867494157e-5
2015,10,10,6,453,0,11802000,1,6.623265139295986e-5
2015,11,11,6,481,0,11802000,1,3.6010742415965065e-5
2015,12,12,6,460,0,11802000,1,2.5720489585073665e-5
2016,1,13,6,454,0,11802000,1,-9.948516341391951e-5
2016,2,14,6,463,0,11802000,1,-7.306199922659694e-5
2016,3,15,6,586,0,11802000,1,-4.0726631100334606e-5
2016,4,16,6,505,0,11802000,1,-5.3538201817972085e-5
2016,5,17,6,641,0,11802000,1,7.595918721511793e-5
2016,6,18,6,540,0,11802000,1,2.2447959333098474e-4
2016,7,19,6,438,0,11802000,1,2.4686156939715147e-4
2016,8,20,6,498,0,11802000,1,2.555448304290341e-4
2016,9,21,6,486,0,11802000,1,-7.040710798774999e-5
2016,10,22,6,428,0,11802000,1,-6.005029589200579e-5
2016,11,23,6,529,0,11802000,1,-1.546858426427934e-4
2016,12,24,6,512,0,11802000,1,-2.019053925469912e-4
2017,1,25,6,509,-0,11802000,1,6.326050390087753e-4
2017,2,26,6,455,-0,11802000,1,4.988897985545918e-4
2017,3,27,6,412,-0,11908000,1,4.682935379037356e-4
2017,4,28,6,413,-0,11908000,1,4.1768156395343694e-4
2017,5,29,6,481,-0,11908000,1,3.941414616913267e-4
2017,6,30,6,437,0,11908000,1,4.358740403119928e-4
2017,7,31,6,414,-0,11908000,1,4.626405016062174e-4
2017,8,32,6,392,-0,11908000,1,4.709409509511897e-4
2017,9,33,6,376,-0,11908000,1,4.941935011470922e-4
2017,10,34,6,369,-0,11908000,1,5.190200094467227e-4
2017,11,35,6,347,-0,11908000,1,4.7454538264174765e-4
2017,12,36,6,338,0,11908000,1,5.020144424060936e-4
2018,1,37,6,305,-0,11908000,1,-1.373434292129241e-4
2018,2,38,6,291,-0,11908000,1,-8.194016339322899e-5
2018,3,39,6,274,-0,11908000,1,-4.2083320996896574e-5
2018,4,40,6,233,-0,11908000,1,-7.925778492923401e-5
2018,5,41,6,231,-0,11908000,1,-2.4916947603924202e-5
2018,6,42,6,211,0,11908000,1,0
2018,7,43,6,247,-0,11908000,1,-4.284323566529397e-6
2018,8,44,6,222,-0,11908000,1,6.86211131358352e-5
2018,9,45,6,207,-0,11908000,1,9.82037324248813e-5
2018,10,46,6,215,-0,11908000,1,-1.948190666647861e-4
2018,11,47,6,206,-0,11908000,1,-2.3293435599093068e-4
2018,12,48,6,205,0,11908000,1,-1.393929495184192e-4
2019,1,49,6,202,-0,11908000,1,6.333753015758524e-5
2019,2,50,6,207,-0,12395000,1,3.403390730389742e-5
2019,3,51,6,206,-0,12395000,1,1.2661526414449327e-5
2019,4,52,6,216,-0,12395000,1,-4.699964362884604e-5
2019,5,53,6,202,-0,12395000,1,5.08402779372409e-5
2019,6,54,6,200,0,12395000,1,0
2019,7,55,6,216,-0,12395000,1,6.0069596402172464e-5
2019,8,56,6,206,-0,12395000,1,6.978353568447844e-5
2019,9,57,6,199,-0,12395000,1,3.370920296834414e-5
2019,10,58,6,216,-0,12395000,1,8.233147515380662e-6
2019,11,59,6,226,-0,12395000,1,5.265067636168696e-5
2019,12,60,6,227,0,12395000,1,4.1563852309799176e-5
2015,1,1,7,961,0,10808000,1,9.82037324248813e-5
2015,2,2,7,1033,0,10808000,1,-1.948190666647861e-4
2015,3,3,7,1127,0,10808000,1,-2.3293435599093068e-4
2015,4,4,7,1084,0,10808000,1,-1.393929495184192e-4
2015,5,5,7,1141,0,10808000,1,-1.373434292129241e-4
2015,6,6,7,1306,1,10808000,1,-8.194016339322899e-5
2015,7,7,7,1285,0,10808000,1,-4.2083320996896574e-5
2015,8,8,7,1250,0,10808000,1,-7.925778492923401e-5
2015,9,9,7,1276,0,10808000,1,-2.4916947603924202e-5
2015,10,10,7,1257,0,10808000,1,0
2015,11,11,7,1320,0,10808000,1,-4.284323566529397e-6
2015,12,12,7,1492,1,10808000,1,6.86211131358352e-5
2016,1,13,7,1405,0,10808000,1,3.370920296834414e-5
2016,2,14,7,1439,0,10808000,1,8.233147515380662e-6
2016,3,15,7,1569,0,10808000,1,5.265067636168696e-5
2016,4,16,7,1439,0,10808000,1,4.1563852309799176e-5
2016,5,17,7,1370,0,10808000,1,6.333753015758524e-5
2016,6,18,7,1402,3,10808000,1,3.403390730389742e-5
2016,7,19,7,1362,0,10808000,1,1.2661526414449327e-5
2016,8,20,7,1383,0,10808000,1,-4.699964362884604e-5
2016,9,21,7,1419,0,10808000,1,5.08402779372409e-5
2016,10,22,7,1485,0,10808000,1,0
2016,11,23,7,1483,0,10808000,1,6.0069596402172464e-5
2016,12,24,7,1409,3,10808000,1,6.978353568447844e-5
2017,1,25,7,1450,0,10808000,1,2.604259696296518e-4
2017,2,26,7,1412,0,10808000,1,3.4465616818470275e-4
2017,3,27,7,1424,0,10808000,1,3.6904424204767613e-4
